country,agency,date,rating,rating_numeric,outlook,action,source,available_date
Greece,Fitch,2022-01-01,BB,12,Positive,outlook_change,theglobaleconomy.com (month-precision),2022-01-01
Greece,Fitch,2022-07-01,BB,12,Positive,affirm,theglobaleconomy.com (month-precision),2022-07-01
Greece,Fitch,2022-10-01,BB,12,Positive,affirm,theglobaleconomy.com (month-precision),2022-10-01
Greece,Fitch,2023-01-27,BB+,11,Stable,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2023-01-27
Greece,Fitch,2023-06-01,BB+,11,Stable,affirm,theglobaleconomy.com (month-precision),2023-06-01
Greece,Fitch,2023-12-01,BBB-,10,Stable,upgrade,theglobaleconomy.com (month-precision),2023-12-01
Greece,Fitch,2024-11-01,BBB-,10,Stable,affirm,theglobaleconomy.com (month-precision),2024-11-01
Greece,Fitch,2025-05-01,BBB-,10,Positive,outlook_change,theglobaleconomy.com (month-precision),2025-05-01
Greece,Fitch,2025-11-01,BBB,9,Stable,upgrade,theglobaleconomy.com (month-precision),2025-11-01
Greece,Fitch,2026-05-01,BBB,9,Stable,affirm,theglobaleconomy.com (month-precision),2026-05-01
Greece,Moody's,1990-07-19,Baa1,8,Stable,initial,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),1990-07-19
Greece,Moody's,1994-05-24,Baa3,10,,downgrade,countryeconomy.com,1994-05-24
Greece,Moody's,1996-11-01,Baa3,10,Positive watch,outlook_change,theglobaleconomy.com (month-precision),1996-11-01
Greece,Moody's,1996-12-23,Baa1,8,,upgrade,countryeconomy.com,1996-12-23
Greece,Moody's,1998-02-01,Baa1,8,Negative watch,outlook_change,theglobaleconomy.com (month-precision),1998-02-01
Greece,Moody's,1999-07-14,A2,6,,upgrade,countryeconomy.com,1999-07-14
Greece,Moody's,2002-11-04,A1,5,,upgrade,countryeconomy.com,2002-11-04
Greece,Moody's,2003-11-15,A1,5,Stable,outlook_change,countryeconomy.com,2003-11-15
Greece,Moody's,2007-01-11,A1,5,Positive,outlook_change,countryeconomy.com,2007-01-11
Greece,Moody's,2009-02-25,A1,5,Stable,outlook_change,countryeconomy.com,2009-02-25
Greece,Moody's,2009-10-29,A1,5,Under Review,outlook_change,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2009-10-29
Greece,Moody's,2009-12-22,A2,6,Negative,downgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2009-12-22
Greece,Moody's,2010-04-22,A3,7,Under Review,downgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2010-04-22
Greece,Moody's,2010-06-14,Ba1,11,Stable,downgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2010-06-14
Greece,Moody's,2010-12-16,Ba1,11,Under Review,outlook_change,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2010-12-16
Greece,Moody's,2011-03-07,B1,14,Negative,downgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2011-03-07
Greece,Moody's,2011-05-09,B1,14,Under Review,outlook_change,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2011-05-09
