country,agency,downgrade_date,rating,single_sourced_ge_only,status,n_near_available,n_near_valid,n_baseline_available,n_baseline_valid,near_mean_risk_score,baseline_mean_risk_score,diff
Sri Lanka,Moody's,2021-10-28,Caa2,False,ok,4.0,4.0,4.0,4.0,0.6174303598776689,0.5648566600018579,0.052573699875811064
Sri Lanka,Moody's,2022-04-18,Ca,False,ok,4.0,4.0,4.0,4.0,0.6085308142968464,0.6012795811948798,0.007251233101966625
Sri Lanka,S&P,2007-08-01,B+,False,insufficient_history,4.0,4.0,4.0,0.0,,,
Sri Lanka,S&P,2008-12-01,B,False,ok,4.0,4.0,4.0,4.0,0.4930513771716253,0.41203874374638794,0.08101263342523735
Sri Lanka,S&P,2018-12-04,B,False,ok,4.0,4.0,4.0,4.0,0.5073320133982809,0.5862359620238682,-0.07890394862558725
Sri Lanka,S&P,2020-05-20,B-,False,ok,4.0,4.0,4.0,4.0,0.558602056891327,0.46348775412179344,0.09511430276953359
Sri Lanka,S&P,2020-12-11,CCC+,False,ok,4.0,4.0,4.0,4.0,0.5648566600018579,0.5257563984559542,0.039100261545903625
Sri Lanka,S&P,2022-01-12,CCC,False,ok,4.0,4.0,4.0,4.0,0.6211998077029394,0.575294783085416,0.04590502461752333
Sri Lanka,S&P,2022-04-13,CC,False,ok,4.0,4.0,4.0,4.0,0.6085308142968464,0.6012795811948798,0.007251233101966625
Sri Lanka,S&P,2022-04-25,SD,False,ok,4.0,4.0,4.0,4.0,0.6085308142968464,0.6012795811948798,0.007251233101966625
Turkey,Fitch,1996-12-20,B+,False,no_preceding_data,,,,,,,
Turkey,Fitch,2001-04-02,B+,False,no_preceding_data,,,,,,,
Turkey,Fitch,2001-08-02,B,False,no_preceding_data,,,,,,,
Turkey,Fitch,2003-03-25,B-,False,no_preceding_data,,,,,,,
Turkey,Fitch,2017-01-27,BB+,False,ok,4.0,4.0,4.0,4.0,0.4923803412658123,0.5029812525333698,-0.010600911267557467
Turkey,Fitch,2018-07-13,BB,False,ok,4.0,4.0,4.0,4.0,0.4730289428146316,0.47995672820826807,-0.006927785393636476
Turkey,Fitch,2019-07-12,BB-,False,ok,4.0,4.0,4.0,4.0,0.4563340794266101,0.4730289428146316,-0.016694863388021508
Turkey,Fitch,2022-02-11,B+,False,ok,4.0,4.0,4.0,4.0,0.5035741691778078,0.48968469870114995,0.013889470476657895
Turkey,Fitch,2022-07-08,B,False,ok,4.0,4.0,4.0,4.0,0.49505144209530666,0.49400984209592325,0.0010415999993834135
Turkey,Moody's,1994-01-13,Ba1,False,no_preceding_data,,,,,,,
Turkey,Moody's,1994-06-02,Ba3,False,no_preceding_data,,,,,,,
Turkey,Moody's,1997-03-13,B1,False,no_preceding_data,,,,,,,
Turkey,Moody's,2016-09-23,Ba1,False,ok,4.0,4.0,4.0,4.0,0.5024789756001501,0.49677301726312917,0.005705958337020922
Turkey,Moody's,2018-03-07,Ba2,False,ok,4.0,4.0,4.0,4.0,0.4752769158490815,0.4923803412658123,-0.017103425416730822
Turkey,Moody's,2018-08-17,Ba3,False,ok,4.0,4.0,4.0,4.0,0.4730289428146316,0.47995672820826807,-0.006927785393636476
Turkey,Moody's,2019-06-14,B1,False,ok,4.0,4.0,4.0,4.0,0.44184273057986667,0.4841560692959545,-0.042313338716087834
Turkey,Moody's,2020-09-11,B2,False,ok,4.0,4.0,4.0,4.0,0.4870087100240834,0.4563340794266101,0.03067463059747333
Turkey,Moody's,2022-08-12,B3,False,ok,4.0,4.0,4.0,4.0,0.49505144209530666,0.49400984209592325,0.0010415999993834135
Turkey,S&P,1994-01-01,BBB-,False,no_preceding_data,,,,,,,
Turkey,S&P,1994-04-01,B+,False,no_preceding_data,,,,,,,
Turkey,S&P,1994-08-01,B+,False,no_preceding_data,,,,,,,
Turkey,S&P,1996-12-01,B,False,no_preceding_data,,,,,,,
Turkey,S&P,2001-02-01,B,False,no_preceding_data,,,,,,,
Turkey,S&P,2001-04-01,B-,False,no_preceding_data,,,,,,,
Turkey,S&P,2016-07-20,BB,False,ok,4.0,4.0,4.0,4.0,0.5024789756001501,0.49677301726312917,0.005705958337020922
Turkey,S&P,2018-05-01,BB-,False,ok,4.0,4.0,4.0,4.0,0.4841560692959545,0.4835651390363983,0.0005909302595561994
Turkey,S&P,2018-08-17,B+,False,ok,4.0,4.0,4.0,4.0,0.4730289428146316,0.47995672820826807,-0.006927785393636476
Turkey,S&P,2022-09-30,B,False,ok,4.0,4.0,4.0,4.0,0.49505144209530666,0.49400984209592325,0.0010415999993834135
Zambia,Fitch,2013-10-28,B,False,ok,4.0,4.0,4.0,4.0,0.559085586073668,0.5996062126574788,-0.04052062658381084
