framing,model,rebal_date,n_train,n_test,ic
classification,random_forest,2016-06-30,160,4,
classification,xgboost,2016-06-30,160,4,
classification,lasso_logistic,2016-09-30,164,4,
classification,random_forest,2016-09-30,164,4,
classification,xgboost,2016-09-30,164,4,
classification,lasso_logistic,2016-12-31,168,4,
classification,random_forest,2016-12-31,168,4,
classification,xgboost,2016-12-31,168,4,
classification,lasso_logistic,2017-03-31,172,4,
classification,random_forest,2017-03-31,172,4,
classification,xgboost,2017-03-31,172,4,
classification,lasso_logistic,2017-06-30,176,5,
classification,random_forest,2017-06-30,176,5,
classification,xgboost,2017-06-30,176,5,
classification,lasso_logistic,2017-09-30,181,5,
classification,random_forest,2017-09-30,181,5,
classification,xgboost,2017-09-30,181,5,
classification,lasso_logistic,2017-12-31,186,5,
classification,random_forest,2017-12-31,186,5,
classification,xgboost,2017-12-31,186,5,
classification,lasso_logistic,2018-06-30,191,2,
classification,random_forest,2018-06-30,191,2,
classification,xgboost,2018-06-30,191,2,
classification,lasso_logistic,2018-09-30,193,1,
classification,random_forest,2018-09-30,193,1,
classification,xgboost,2018-09-30,193,1,
classification,lasso_logistic,2018-12-31,194,1,
classification,random_forest,2018-12-31,194,1,
classification,xgboost,2018-12-31,194,1,
classification,lasso_logistic,2019-03-31,195,1,
classification,random_forest,2019-03-31,195,1,
classification,xgboost,2019-03-31,195,1,
classification,lasso_logistic,2019-06-30,196,1,
classification,random_forest,2019-06-30,196,1,
classification,xgboost,2019-06-30,196,1,
classification,lasso_logistic,2020-03-31,197,1,
classification,random_forest,2020-03-31,197,1,
classification,xgboost,2020-03-31,197,1,
classification,lasso_logistic,2020-06-30,198,1,
classification,random_forest,2020-06-30,198,1,
classification,xgboost,2020-06-30,198,1,
classification,lasso_logistic,2020-09-30,199,1,
classification,random_forest,2020-09-30,199,1,
classification,xgboost,2020-09-30,199,1,
classification,lasso_logistic,2020-12-31,200,1,
classification,random_forest,2020-12-31,200,1,
classification,xgboost,2020-12-31,200,1,
classification,lasso_logistic,2021-03-31,201,1,
classification,random_forest,2021-03-31,201,1,
classification,xgboost,2021-03-31,201,1,
classification,lasso_logistic,2021-06-30,202,12,
classification,random_forest,2021-06-30,202,12,
classification,xgboost,2021-06-30,202,12,
classification,lasso_logistic,2021-09-30,214,12,
classification,random_forest,2021-09-30,214,12,
classification,xgboost,2021-09-30,214,12,
classification,lasso_logistic,2021-12-31,226,19,
classification,random_forest,2021-12-31,226,19,
classification,xgboost,2021-12-31,226,19,
classification,lasso_logistic,2022-03-31,245,19,
classification,random_forest,2022-03-31,245,19,
classification,xgboost,2022-03-31,245,19,
classification,lasso_logistic,2024-09-30,264,2,
classification,random_forest,2024-09-30,264,2,
classification,xgboost,2024-09-30,264,2,
classification,lasso_logistic,2024-12-31,266,2,
classification,random_forest,2024-12-31,266,2,
classification,xgboost,2024-12-31,266,2,
classification,lasso_logistic,2025-03-31,268,2,
classification,random_forest,2025-03-31,268,2,
classification,xgboost,2025-03-31,268,2,
classification,lasso_logistic,2025-06-30,270,2,
classification,random_forest,2025-06-30,270,2,
classification,xgboost,2025-06-30,270,2,
classification,lasso_logistic,2025-09-30,272,2,
classification,random_forest,2025-09-30,272,2,
classification,xgboost,2025-09-30,272,2,
regression,lasso,2009-09-30,23,4,-0.19999999999999998
regression,random_forest,2009-09-30,23,4,0.39999999999999997
regression,xgboost,2009-09-30,23,4,0.19999999999999998
regression,lasso,2009-12-31,27,4,
regression,random_forest,2009-12-31,27,4,0.0
regression,xgboost,2009-12-31,27,4,-0.39999999999999997
regression,lasso,2010-03-31,31,5,0.09999999999999999
regression,random_forest,2010-03-31,31,5,-0.3
regression,xgboost,2010-03-31,31,5,-0.3
regression,lasso,2010-06-30,36,3,-0.5
regression,random_forest,2010-06-30,36,3,-1.0
regression,xgboost,2010-06-30,36,3,-0.5
regression,lasso,2010-09-30,39,5,0.6
regression,random_forest,2010-09-30,39,5,-0.3
regression,xgboost,2010-09-30,39,5,0.19999999999999998
regression,lasso,2010-12-31,44,5,-0.3
regression,random_forest,2010-12-31,44,5,-0.09999999999999999
regression,xgboost,2010-12-31,44,5,0.19999999999999998
regression,lasso,2011-03-31,49,5,-0.49999999999999994
regression,random_forest,2011-03-31,49,5,-0.09999999999999999
regression,xgboost,2011-03-31,49,5,-0.09999999999999999
regression,lasso,2011-06-30,54,7,0.4642857142857144
regression,random_forest,2011-06-30,54,7,-0.3571428571428572
regression,xgboost,2011-06-30,54,7,-0.642857142857143
regression,lasso,2011-09-30,61,7,-0.10714285714285716
regression,random_forest,2011-09-30,61,7,-0.07142857142857144
regression,xgboost,2011-09-30,61,7,0.6785714285714287
regression,lasso,2011-12-31,68,7,-0.39285714285714296
regression,random_forest,2011-12-31,68,7,-0.5714285714285715
regression,xgboost,2011-12-31,68,7,-0.28571428571428575
regression,lasso,2012-03-31,75,8,0.4047619047619048
regression,random_forest,2012-03-31,75,8,-0.6428571428571429
regression,xgboost,2012-03-31,75,8,-0.7380952380952381
regression,lasso,2012-06-30,83,9,-0.7166666666666667
regression,random_forest,2012-06-30,83,9,-0.7666666666666667
regression,xgboost,2012-06-30,83,9,-0.7
regression,lasso,2012-09-30,92,10,0.10303030303030303
regression,random_forest,2012-09-30,92,10,0.38181818181818183
regression,xgboost,2012-09-30,92,10,0.5272727272727272
regression,lasso,2012-12-31,102,10,0.11515151515151514
regression,random_forest,2012-12-31,102,10,0.24848484848484845
regression,xgboost,2012-12-31,102,10,-0.04242424242424241
regression,lasso,2013-06-30,112,4,0.6000000000000001
regression,random_forest,2013-06-30,112,4,0.0
regression,xgboost,2013-06-30,112,4,-0.7999999999999999
regression,lasso,2013-09-30,116,4,0.7999999999999999
regression,random_forest,2013-09-30,116,4,0.39999999999999997
regression,xgboost,2013-09-30,116,4,-0.7999999999999999
regression,lasso,2013-12-31,120,4,-0.7999999999999999
regression,random_forest,2013-12-31,120,4,-0.7999999999999999
regression,xgboost,2013-12-31,120,4,-0.39999999999999997
regression,lasso,2014-03-31,124,4,0.7999999999999999
regression,random_forest,2014-03-31,124,4,0.7999999999999999
regression,xgboost,2014-03-31,124,4,0.39999999999999997
regression,lasso,2014-06-30,128,4,-0.7999999999999999
regression,random_forest,2014-06-30,128,4,-0.19999999999999998
regression,xgboost,2014-06-30,128,4,-0.7999999999999999
regression,lasso,2014-09-30,132,4,0.6000000000000001
regression,random_forest,2014-09-30,132,4,-0.7999999999999999
regression,xgboost,2014-09-30,132,4,-0.19999999999999998
regression,lasso,2014-12-31,136,4,0.0
regression,random_forest,2014-12-31,136,4,0.0
regression,xgboost,2014-12-31,136,4,0.39999999999999997
regression,lasso,2015-03-31,140,4,0.6000000000000001
regression,random_forest,2015-03-31,140,4,0.6000000000000001
regression,xgboost,2015-03-31,140,4,-0.7999999999999999
regression,lasso,2015-06-30,144,4,-0.39999999999999997
regression,random_forest,2015-06-30,144,4,-0.7999999999999999
regression,xgboost,2015-06-30,144,4,-0.7999999999999999
regression,lasso,2015-09-30,148,4,1.0
regression,random_forest,2015-09-30,148,4,1.0
regression,xgboost,2015-09-30,148,4,-0.39999999999999997
regression,lasso,2015-12-31,152,4,-1.0
regression,random_forest,2015-12-31,152,4,-0.7999999999999999
regression,xgboost,2015-12-31,152,4,-0.39999999999999997
regression,lasso,2016-03-31,156,4,0.19999999999999998
regression,random_forest,2016-03-31,156,4,-0.7999999999999999
regression,xgboost,2016-03-31,156,4,-0.7999999999999999
regression,lasso,2016-06-30,160,4,-0.39999999999999997
regression,random_forest,2016-06-30,160,4,-0.19999999999999998
regression,xgboost,2016-06-30,160,4,-0.39999999999999997
regression,lasso,2016-09-30,164,4,0.6000000000000001
regression,random_forest,2016-09-30,164,4,0.6000000000000001
regression,xgboost,2016-09-30,164,4,0.19999999999999998
regression,lasso,2016-12-31,168,4,-0.39999999999999997
regression,random_forest,2016-12-31,168,4,-0.19999999999999998
regression,xgboost,2016-12-31,168,4,-0.39999999999999997
regression,lasso,2017-03-31,172,4,0.7999999999999999
regression,random_forest,2017-03-31,172,4,-1.0
regression,xgboost,2017-03-31,172,4,-0.7999999999999999
regression,lasso,2017-06-30,176,5,0.7999999999999999
regression,random_forest,2017-06-30,176,5,-0.7
regression,xgboost,2017-06-30,176,5,-0.7
regression,lasso,2017-09-30,181,5,0.7
regression,random_forest,2017-09-30,181,5,-0.8999999999999998
regression,xgboost,2017-09-30,181,5,-0.49999999999999994
regression,lasso,2017-12-31,186,5,-0.09999999999999999
regression,random_forest,2017-12-31,186,5,0.7
regression,xgboost,2017-12-31,186,5,0.09999999999999999
regression,lasso,2018-06-30,191,2,
regression,random_forest,2018-06-30,191,2,
regression,xgboost,2018-06-30,191,2,
regression,lasso,2018-09-30,193,1,
regression,random_forest,2018-09-30,193,1,
regression,xgboost,2018-09-30,193,1,
regression,lasso,2018-12-31,194,1,
regression,random_forest,2018-12-31,194,1,
regression,xgboost,2018-12-31,194,1,
regression,lasso,2019-03-31,195,1,
regression,random_forest,2019-03-31,195,1,
regression,xgboost,2019-03-31,195,1,
regression,lasso,2019-06-30,196,1,
regression,random_forest,2019-06-30,196,1,
regression,xgboost,2019-06-30,196,1,
regression,lasso,2020-03-31,197,1,
regression,random_forest,2020-03-31,197,1,
regression,xgboost,2020-03-31,197,1,
regression,lasso,2020-06-30,198,1,
regression,random_forest,2020-06-30,198,1,
regression,xgboost,2020-06-30,198,1,
regression,lasso,2020-09-30,199,1,
regression,random_forest,2020-09-30,199,1,
regression,xgboost,2020-09-30,199,1,
regression,lasso,2020-12-31,200,1,
regression,random_forest,2020-12-31,200,1,
regression,xgboost,2020-12-31,200,1,
regression,lasso,2021-03-31,201,1,
regression,random_forest,2021-03-31,201,1,
regression,xgboost,2021-03-31,201,1,
regression,lasso,2021-06-30,202,12,0.2027972027972028
regression,random_forest,2021-06-30,202,12,-0.2657342657342658
regression,xgboost,2021-06-30,202,12,-0.2447552447552448
regression,lasso,2021-09-30,214,12,-0.31468531468531474
regression,random_forest,2021-09-30,214,12,0.09090909090909093
regression,xgboost,2021-09-30,214,12,0.06293706293706294
regression,lasso,2021-12-31,226,19,0.2824561403508772
regression,random_forest,2021-12-31,226,19,0.09649122807017543
regression,xgboost,2021-12-31,226,19,0.27017543859649124
regression,lasso,2022-03-31,245,19,-0.11228070175438597
regression,random_forest,2022-03-31,245,19,0.15964912280701754
regression,xgboost,2022-03-31,245,19,0.0456140350877193
regression,lasso,2024-09-30,264,2,
regression,random_forest,2024-09-30,264,2,
regression,xgboost,2024-09-30,264,2,
regression,lasso,2024-12-31,266,2,
regression,random_forest,2024-12-31,266,2,
regression,xgboost,2024-12-31,266,2,
regression,lasso,2025-03-31,268,2,
regression,random_forest,2025-03-31,268,2,
regression,xgboost,2025-03-31,268,2,
regression,lasso,2025-06-30,270,2,
regression,random_forest,2025-06-30,270,2,
regression,xgboost,2025-06-30,270,2,
regression,lasso,2025-09-30,272,2,
regression,random_forest,2025-09-30,272,2,
regression,xgboost,2025-09-30,272,2,
